"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.710468225E1,1.467548370E1,-2.432321167E1,-7.544738770E0
2.711467925E1,1.453554153E1,-2.441174126E1,-7.398803711E0
2.712467725E1,1.453554153E1,-2.441174126E1,-7.398803711E0
2.713467525E1,1.452061272E1,-2.455532837E1,-7.351379395E0
2.714467325E1,1.452061272E1,-2.455532837E1,-7.351379395E0
2.715467125E1,1.437816238E1,-2.465826988E1,-7.375915527E0
2.716466825E1,1.437816238E1,-2.465826988E1,-7.375915527E0
2.717466625E1,1.434006500E1,-2.451993561E1,-7.264404297E0
2.718466425E1,1.434006500E1,-2.451993561E1,-7.264404297E0
2.719466225E1,1.441780281E1,-2.457708931E1,-7.442504883E0
2.720466025E1,1.441780281E1,-2.457708931E1,-7.442504883E0
2.721465725E1,1.455666924E1,-2.440399361E1,-7.437072754E0
2.722465525E1,1.455666924E1,-2.440399361E1,-7.437072754E0
2.723465325E1,1.474520588E1,-2.455149841E1,-7.654235840E0
2.724465125E1,1.474520588E1,-2.455149841E1,-7.654235840E0
2.725464925E1,1.440561199E1,-2.440242004E1,-7.370666504E0
2.726464625E1,1.440561199E1,-2.440242004E1,-7.370666504E0
2.727464425E1,1.463198090E1,-2.468053818E1,-7.517089844E0
2.728464225E1,1.463198090E1,-2.468053818E1,-7.517089844E0
2.729464025E1,1.450753021E1,-2.444055367E1,-7.456237793E0
2.730463825E1,1.450753021E1,-2.444055367E1,-7.456237793E0
2.731463625E1,1.445344734E1,-2.452485657E1,-7.588989258E0
2.732463325E1,1.445344734E1,-2.452485657E1,-7.588989258E0
2.733463125E1,1.447060490E1,-2.437535477E1,-7.652770996E0
2.734462925E1,1.447060490E1,-2.437535477E1,-7.652770996E0
2.735462725E1,1.457121849E1,-2.447699928E1,-7.684753418E0
2.736462525E1,1.457121849E1,-2.447699928E1,-7.684753418E0
2.737462225E1,1.461313915E1,-2.442894745E1,-7.730773926E0
2.738462025E1,1.461313915E1,-2.442894745E1,-7.730773926E0
2.739461825E1,1.463014698E1,-2.452995682E1,-7.659973145E0
2.740461625E1,1.463014698E1,-2.452995682E1,-7.659973145E0
2.741461425E1,1.482430363E1,-2.436205482E1,-7.721557617E0
2.742461225E1,1.482430363E1,-2.436205482E1,-7.721557617E0
2.743460925E1,1.474331093E1,-2.434486389E1,-7.563354492E0
2.744460725E1,1.474331093E1,-2.434486389E1,-7.563354492E0
2.745460525E1,1.495077038E1,-2.439087868E1,-7.652404785E0
2.746460325E1,1.495077038E1,-2.439087868E1,-7.652404785E0
2.747460125E1,1.494958973E1,-2.425601006E1,-7.682617188E0
2.748459825E1,1.494958973E1,-2.425601006E1,-7.682617188E0
2.749459625E1,1.485443497E1,-2.433368301E1,-7.558471680E0
2.750459425E1,1.455188179E1,-2.440336418E1,-7.508605957E0
2.751459225E1,1.455188179E1,-2.440336418E1,-7.508605957E0
2.752459025E1,1.457525063E1,-2.457414436E1,-7.516662598E0
2.753458825E1,1.457525063E1,-2.457414436E1,-7.516662598E0
