"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.664147208E0,-6.927488744E-2,-9.164048731E-2,1.443996218E-1
3.674145208E0,-4.192804456E-2,-1.665971142E-1,2.139800262E-1
3.684143208E0,4.092349291E-2,-1.980381775E-1,1.618088293E-1
3.694141208E0,1.796454683E-1,-6.844341338E-2,-5.453814983E-2
3.704139208E0,2.469869739E-1,2.415426314E-2,-1.556061029E-1
3.714138208E0,2.782029194E-1,1.030495745E-1,-2.605753183E-2
3.724136208E0,4.002568218E-1,9.722984076E-2,9.002080858E-3
3.734134208E0,4.892912051E-1,1.591664726E-1,-6.221437454E-3
3.744132208E0,4.810820067E-1,2.382091337E-1,3.019253656E-2
3.754130208E0,3.604095089E-1,1.462417871E-1,3.778324574E-2
3.764128208E0,-9.663605601E-2,1.571982998E-1,-5.666244328E-3
3.774126208E0,-1.755486166E-1,-5.116839945E-2,1.002627915E-1
3.784124208E0,-1.840601161E-1,-1.172694182E-1,2.067458510E-1
3.794122208E0,-2.145641631E-1,-1.536098635E-1,1.310963291E-1
3.804120208E0,-2.800401145E-1,-1.864332086E-1,-2.577218771E-2
3.814118208E0,-3.772740483E-2,-1.895392495E-1,-1.406857628E-1
