"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.088235444E3,5.235597179E1,4.956525981E0,-3.451263428E0,2.228671461E-1,1.832657746E1,3.200483309E1,3.200483309E1
1.089235424E3,5.235597214E1,4.956524691E0,-3.451263428E0,2.228671461E-1,4.118441853E0,3.200483309E1,3.200483309E1
1.090235405E3,5.235597531E1,4.956521559E0,-3.451263428E0,1.167252883E-1,2.551886100E0,3.200483309E1,3.200483309E1
1.091235383E3,5.235597807E1,4.956524645E0,-3.451263428E0,2.068199962E-1,1.681465361E1,4.800724964E1,4.800724964E1
1.092235364E3,5.235598755E1,4.956523369E0,-3.451263428E0,-1.000000000E0,-1.000000000E0,4.800724964E1,4.800724964E1
1.093235344E3,5.235598748E1,4.956522763E0,-1.907731684E0,-1.000000000E0,-1.000000000E0,4.800724964E1,4.800724964E1
1.094235324E3,5.235598862E1,4.956523985E0,-6.715366576E-1,-1.000000000E0,-1.000000000E0,4.800724964E1,4.800724964E1
1.095235304E3,5.235599000E1,4.956524806E0,3.185150683E-1,-1.000000000E0,-1.000000000E0,4.800724964E1,4.800724964E1
1.096235284E3,5.235601525E1,4.956512586E0,1.109500045E0,-1.000000000E0,-1.000000000E0,4.800724964E1,4.800724964E1
1.097235264E3,5.235603031E1,4.956497043E0,1.741442904E0,-1.000000000E0,-1.000000000E0,4.800724964E1,4.800724964E1
1.098235244E3,5.235606877E1,4.956446680E0,2.256167872E0,-1.000000000E0,-1.000000000E0,4.800724964E1,4.800724964E1
1.099235224E3,5.235607326E1,4.956423653E0,2.675284393E0,-1.000000000E0,-1.000000000E0,4.800724964E1,4.800724964E1
1.100235204E3,5.235607774E1,4.956400625E0,3.016446845E0,-1.000000000E0,-1.000000000E0,4.800724964E1,4.800724964E1
1.101235184E3,5.235608223E1,4.956377598E0,4.404573601E0,-1.000000000E0,-1.000000000E0,4.800724964E1,4.800724964E1
1.102235165E3,5.235608671E1,4.956354571E0,4.423355158E0,-1.000000000E0,-1.000000000E0,4.800724964E1,4.800724964E1
